Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0043565	sequence-specific DNA binding	 	1.332E-19	1.852E-16	1.852E-16	1.448E-15	180	1799	DUXA,MDM4,GATAD2B,ZNF548,TEAD2,UNCX,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,MBD4,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,ZW10,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,TINF2,ZNF283,DLX1,DLX2,DLX3,DLX6,ARID4A,ZNF329,THAP9,GMNN,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,XRN2,SFPQ,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,EHMT2,GLI1,SPZ1,TAF9,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,SIRT3,IKZF5,KAT7,GTF2A1,ZSCAN22,BAZ2A,ZNF587,ZNF543,TOP2A,HDGF,NR2C1,HIC1,ZNF585A,CBX3,FOXA3,HNRNPA1,HNRNPA2B1,HNRNPD,HNRNPK,HNRNPL,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,HSPD1,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,LMNB1,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	 	6.469E-19	8.998E-16	3.007E-16	2.350E-15	151	1416	DUXA,MDM4,ZNF548,TEAD2,UNCX,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,NKX2-2,NKX3-1,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,ZNF329,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZKSCAN3,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,GLI1,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,IKZF5,ZSCAN22,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,FOXA3,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:1990837	sequence-specific double-stranded DNA binding	 	6.485E-19	9.020E-16	3.007E-16	2.350E-15	172	1711	DUXA,MDM4,ZNF548,TEAD2,UNCX,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,MBD4,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,ZW10,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,ARID4A,ZNF329,GMNN,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,XRN2,SFPQ,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,EHMT2,GLI1,SPZ1,TAF9,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,IKZF5,KAT7,GTF2A1,ZSCAN22,BAZ2A,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,CBX3,FOXA3,HNRNPK,HNRNPL,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,HSPD1,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,LMNB1,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0001067	transcription regulatory region nucleic acid binding	 	1.695E-18	2.358E-15	5.895E-16	4.608E-15	168	1670	DUXA,MDM4,ZNF548,TEAD2,UNCX,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,ARID4A,ZNF329,GMNN,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,XRN2,SFPQ,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,EHMT2,GLI1,SPZ1,TAF9,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,IKZF5,GTF2A1,ZSCAN22,BAZ2A,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,CBX3,FOXA3,HNRNPA2B1,HNRNPK,HNRNPL,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0003690	double-stranded DNA binding	 	2.191E-18	3.047E-15	6.095E-16	4.763E-15	177	1804	DUXA,MDM4,ZNF548,TEAD2,UNCX,MSH4,MSH5,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,MBD4,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,ZW10,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,ARID4A,RBBP8,ZNF329,GMNN,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,XRN2,SFPQ,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZMYND11,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,EHMT2,GLI1,SPZ1,TAF9,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,MAU2,IKZF5,KAT7,GTF2A1,ZSCAN22,BAZ2A,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,CBX3,FOXA3,HNRNPK,HNRNPL,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,HSPD1,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,LMNB1,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0000976	transcription cis-regulatory region binding	 	2.939E-18	4.088E-15	6.814E-16	5.325E-15	167	1665	DUXA,MDM4,ZNF548,TEAD2,UNCX,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,ARID4A,ZNF329,GMNN,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,XRN2,SFPQ,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,EHMT2,GLI1,SPZ1,TAF9,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,IKZF5,GTF2A1,ZSCAN22,BAZ2A,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,CBX3,FOXA3,HNRNPK,HNRNPL,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0003700	DNA-binding transcription factor activity	 	4.511E-18	6.275E-15	8.965E-16	7.006E-15	154	1488	DUXA,MDM4,ZNF548,TEAD2,UNCX,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,NKX2-2,NKX3-1,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,ZNF329,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,GLI1,SPZ1,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,IKZF5,ZSCAN22,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,FOXA3,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	 	5.849E-18	8.136E-15	1.017E-15	7.948E-15	136	1244	ZNF548,TEAD2,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,NRL,CREB3L4,ZNF814,PAX6,PAX9,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,IKZF3,ZNF211,NACC1,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,MESP1,ZNF544,GLI1,TBX2,SATB2,ZNF577,ZSCAN31,IKZF5,ZSCAN22,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,FOXA3,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC13,HOXD3,HOXD4,HOXD10,HOXD11,HOXD13,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,ZFHX2,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,TBX20,THAP11,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0000987	cis-regulatory region sequence-specific DNA binding	 	9.691E-18	1.348E-14	1.498E-15	1.171E-14	137	1265	ZNF548,TEAD2,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,NRL,CREB3L4,ZNF814,PAX6,PAX9,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,IKZF3,ZNF211,NACC1,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,MESP1,ZNF544,GLI1,TBX2,SATB2,ZNF577,ZSCAN31,IKZF5,ZSCAN22,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,FOXA3,HNRNPK,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC13,HOXD3,HOXD4,HOXD10,HOXD11,HOXD13,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,ZFHX2,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,TBX20,THAP11,FIGLA,LYL1,MXD1
GO: Molecular Function	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	 	1.595E-17	2.219E-14	2.219E-15	1.734E-14	157	1551	DUXA,MDM4,ZNF548,TEAD2,UNCX,ZNF784,MTF1,ASCL1,HES4,SIX5,ZNF420,ZNF582,ZNF583,PRDM1,SP8,NFATC4,NFE2,NFE2L2,FUBP1,NKX2-2,NKX3-1,NRL,HMX3,CREB3L4,ZNF814,PAX6,PAX9,PBX2,GCM2,ZNF233,ZNF235,ZNF324,ZNF345,TBX4,ZFP28,POU3F3,POU5F1,ATF2,ATF6B,NFE2L3,DBX1,ZSCAN12,DBP,SOX7,ZIK1,ZNF283,DLX1,DLX2,DLX3,DLX6,ZNF329,ZBED6,SP9,EN2,ZNF219,ETS1,EVX1,RXRB,ZNF461,ZIC4,IRF9,ZNF644,HOXB13,SOX6,IKZF3,ZNF211,NACC1,SHOX2,ZNF416,ZNF335,ZKSCAN3,ZNF667,ZSCAN16,TBR1,ZNF527,ZNF460,GATA4,GBX2,MESP1,ZNF544,EHMT2,GLI1,TBX2,SATB2,ZFP90,ZNF577,ZSCAN31,IKZF5,GTF2A1,ZSCAN22,ZNF587,ZNF543,HDGF,NR2C1,HIC1,ZNF585A,FOXA3,HOXA1,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA13,HOXB3,HOXB4,HOXB5,HOXB6,HOXB8,HOXB9,HOXC4,HOXC5,HOXC6,ZNF497,HOXC12,HOXC13,ZNF550,HOXD3,HOXD4,HOXD8,HOXD10,HOXD11,HOXD12,HOXD13,ZNF573,ZNF772,ZIM3,ZIC1,ZNF17,ZNF790,OSR1,ZFHX2,ZNF749,ZNF470,ZNF221,ZNF222,ZNF134,ZNF140,ZBTB16,ZNF155,ZNF165,ZNF184,ZNF189,ZKSCAN8,ZSCAN9,ZNF223,ZNF225,ZNF227,ZNF229,ZNF230,ZNF511,TBX20,THAP11,FIGLA,LYL1,MXD1
